Date,Open,High,Low,Close*,Adj Close**,Volume,ATR_14,EMA_10,RSI_14
2022-08-04,32805.69,32829.22,32652.63,32726.82,32726.82,315590000,439.3800000000018,33067.9817830651,45.79288082056262
2022-08-03,32514.21,32912.74,32514.21,32812.5,32812.5,342160000,447.8914285714301,33021.53054978053,48.330059614928224
2022-08-02,32691.29,32772.93,32387.12,32396.17,32396.17,316740000,429.91857142857305,32907.828631638615,39.470230019247126
2022-08-01,32755.71,32972.03,32640.79,32798.4,32798.4,321180000,410.97428571428725,32887.932516795234,34.49084824477541
2022-07-29,32515.62,32910.18,32493.02,32845.13,32845.13,487360000,416.6935714285727,32880.15024101428,28.494537484670985
2022-07-28,32197.62,32609.54,31982.61,32529.63,32529.63,331110000,454.5450000000011,32816.41928810259,25.656377848107624
2022-07-27,31865.05,32336.23,31799.43,32197.59,32197.59,365480000,476.0742857142868,32703.904872083935,18.87826596517145
2022-07-26,31950.04,31950.04,31705.36,31761.54,31761.54,324930000,470.5871428571437,32532.56580443231,17.766541583244347
2022-07-25,31950.93,32029.03,31821.67,31990.04,31990.04,255450000,452.9707142857148,32433.92474908098,24.059117341184333
2022-07-22,32167.92,32219.25,31731.47,31899.29,31899.29,319880000,454.1535714285718,32336.718431066256,26.665302994882964
2022-07-21,31826.49,32040.63,31534.08,32036.9,32036.9,302320000,473.63714285714275,32282.205989054208,30.05544811416854
2022-07-20,31829.99,31944.45,31646.95,31874.84,31874.84,313520000,458.1442857142855,32208.139445589804,34.03506156538276
2022-07-19,31165.91,31842.25,31165.91,31827.05,31827.05,378720000,484.4349999999998,32138.850455482563,32.08953362854871
2022-07-18,31475.98,31644.68,30982.97,31072.61,31072.61,309960000,520.2321428571423,31944.98855448573,25.499949042566442
2022-07-15,30775.37,31288.26,30775.37,31288.26,31288.26,321570000,544.2535714285708,31825.58336276105,30.408350039222483
2022-07-14,30451.8,30680.12,30143.93,30630.17,30630.17,325130000,597.5249999999994,31608.235478622675,24.287838407830733
2022-07-13,30743.63,30979.17,30514.61,30772.79,30772.79,291830000,600.3235714285705,31456.336300691277,29.554717057172965
2022-07-12,31113.31,31346.1,30860.51,30981.33,30981.33,324190000,600.1414285714275,31369.971518747407,25.941578817753538
2022-07-11,31277.98,31367.55,31114.4,31173.84,31173.84,245020000,597.9314285714273,31334.31124261151,28.694211083206937
2022-07-08,31348.43,31511.46,31212.45,31338.15,31338.15,238120000,560.4385714285703,31335.009198500327,34.20190084222587
2022-07-07,31190.65,31421.84,31154.64,31384.55,31384.55,296620000,527.3671428571417,31344.01661695481,38.33622163818529
2022-07-06,30957.3,31224.69,30794.84,31037.68,31037.68,289800000,534.3299999999989,31288.319050235754,39.34290105826025
2022-07-05,30903.12,30971.74,30355.12,30967.82,30967.82,323080000,563.9778571428562,31230.04649564743,34.21281853281852
2022-07-01,30737.77,31139.35,30487.79,31097.26,31097.26,310440000,575.6764285714277,31205.903496438805,37.759714790656176
2022-06-30,30790.0,30979.85,30431.87,30775.43,30775.43,394070000,587.022142857142,31127.635587995384,31.772824607488673
2022-06-29,31067.41,31152.96,30894.53,31029.31,31029.31,269390000,586.134999999999,31109.75820835986,38.09860284947766
2022-06-28,31549.05,31885.09,30934.33,30946.99,30946.99,350780000,603.4085714285702,31080.163988658067,37.7318248224024
2022-06-27,31533.6,31598.59,31351.37,31438.26,31438.26,309910000,589.6599999999988,31145.2723543566,55.50082892294173
2022-06-24,30846.94,31517.29,30846.94,31500.68,31500.68,465480000,600.9071428571418,31209.891926291763,53.35009273394823
2022-06-23,30570.33,30715.63,30293.4,30677.36,30677.36,361420000,605.4035714285704,31113.06793969326,50.70737110975874
2022-06-22,30352.57,30777.92,30166.01,30483.13,30483.13,343490000,615.9285714285706,30998.533768839938,45.72419697685403
2022-06-21,30074.69,30653.98,30074.69,30530.25,30530.25,376900000,616.3557142857137,30913.391265414495,43.00820266726183
2022-06-16,30305.74,30305.74,29740.35,29927.07,29927.07,442910000,645.1899999999997,30734.06012624822,32.85731963865854
2022-06-15,30570.5,31011.97,30185.08,30668.53,30668.53,392670000,698.5671428571428,30722.14555783945,42.054063033985145
2022-06-14,30592.34,30690.8,30144.23,30364.83,30364.83,366800000,718.5221428571427,30657.17909277773,38.596032118812765
2022-06-13,31144.91,31144.91,30373.72,30516.74,30516.74,472290000,732.1199999999998,30631.64471227269,43.908473926201026
2022-06-10,32053.52,32053.52,31387.84,31392.79,31392.79,362300000,793.1357142857139,30770.034764586744,54.181022524020456
2022-06-09,32828.62,32956.73,32267.78,32272.79,32272.79,289710000,858.3057142857142,31043.26298920734,60.07708278684453
2022-06-08,33087.07,33156.5,32824.37,32910.9,32910.9,270470000,873.8999999999999,31382.833354806,67.3644529083733
2022-06-07,32783.03,33207.45,32641.85,33180.14,33180.14,270750000,887.3335714285713,31709.61638120491,67.44577269549166
2022-06-06,33032.04,33235.37,32819.5,32915.78,32915.78,253010000,849.127142857143,31928.91885734947,65.51115046869313
2022-06-03,32986.32,33135.61,32839.21,32899.7,32899.7,298570000,823.7557142857147,32105.42451964956,62.445879703909604
